"1","WSA301D - SAE Dév","#F03E3E"
"2","WSA310 - Portfolio","#F03E3E"
"3","WRA301 - Anglais","#FF1E54"
"4","WRA302 - Anglais Renforcé","#FC5B5B"
"5","WRA303D - Design d'expérience","#FF4079"
"6","WRA304 - Culture numérique","#FF6C22"
"7","WRA305D - Stratégies de communication et marketing","#FF9209"
"8","WRA306 - Référencement","#F4CE14"
"9","WRA307 - Expression, communication et rhétorique","#FFE815"
"10","WRA308D - Écriture multimédia et narration","#17B644"
"11","WRA309D - Création et design interactif (UI)","#1EFF27"
"12","WRA310D - Culture artistique","#ADFF00"
"13","WRA311D - Audiovisuel et Motion design","#3EF0B0"
"14","WRA312D - Développement Front et intégration","#0F3DB5"
"15","WRA313D - Développement Back","#405EFF"
"16","WRA314D - Déploiement de services","#1EBCFF"
"17","WRA315 - Représentation et traitement de l'information","#40FFF4"
"18","WRA316 - Gestion de projet","#620FB5"
"19","WRA317 - Economie, gestion et droit du numérique","#9440FF"
"20","WRA318 - Projet Personnel et Professionnel","#B50F86"
"21","WRA319D - Symfony","#FF40EC"
